Município1,Código Município IBGE,UF1,Dia,Data,Média de Índice De Isolamento(%)
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,6/14/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,6/13/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,6/12/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,6/11/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,6/10/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,6/9/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,6/8/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,6/7/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,6/6/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,6/5/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,6/4/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,6/3/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,6/2/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,6/1/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,5/31/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,5/30/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,5/29/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,5/28/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,5/27/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,5/26/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,5/25/2020,53
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,5/24/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,5/23/2020,51
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,5/22/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,5/21/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,5/20/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,5/19/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,5/18/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,5/17/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,5/16/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,5/15/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,5/14/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,5/13/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,5/12/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,5/11/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,5/10/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,5/9/2020,51
